Collection_ID,Last_Created_Timestamp,Last_Created_Human_Readable,Document_Count,Progress,Error
0,1742839137.6681392,2025-03-25 01:58:57,98582,98.58%,
1,1742873751.3034213,2025-03-25 11:35:51,99049,99.05%,
2,1742873817.6130748,2025-03-25 11:36:57,99520,99.52%,
3,1742873879.892719,2025-03-25 11:37:59,99440,99.44%,
4,1742873983.543352,2025-03-25 11:39:43,99648,99.65%,
5,1742843827.0639756,2025-03-25 03:17:07,99587,99.59%,
6,1742874052.1570673,2025-03-25 11:40:52,99531,99.53%,
7,1742874286.9022412,2025-03-25 11:44:46,100000,100.00%,
8,1742847776.8671072,2025-03-25 04:22:56,99787,99.79%,
9,1742852416.481629,2025-03-25 05:40:16,99802,99.80%,
10,1742845747.4439545,2025-03-25 03:49:07,99903,99.90%,
11,1742848190.2379131,2025-03-25 04:29:50,99902,99.90%,
12,1742849279.4028566,2025-03-25 04:47:59,99883,99.88%,
13,1742852084.5455966,2025-03-25 05:34:44,99702,99.70%,
14,1742853120.3144543,2025-03-25 05:52:00,99834,99.83%,
15,1742852252.3355794,2025-03-25 05:37:32,99736,99.74%,
16,1742852432.240089,2025-03-25 05:40:32,99748,99.75%,
17,1742851915.510059,2025-03-25 05:31:55,99778,99.78%,
18,1742860185.1620162,2025-03-25 07:49:45,99856,99.86%,
19,1742855706.4883761,2025-03-25 06:35:06,99815,99.81%,
20,1742858019.1282032,2025-03-25 07:13:39,99579,99.58%,
21,1742855805.6273255,2025-03-25 06:36:45,99819,99.82%,
22,1742858316.7322764,2025-03-25 07:18:36,99816,99.82%,
23,1742858917.9254804,2025-03-25 07:28:37,99856,99.86%,
24,1742858388.5134094,2025-03-25 07:19:48,99878,99.88%,
25,1742856584.2622287,2025-03-25 06:49:44,99902,99.90%,
26,1742856333.4411452,2025-03-25 06:45:33,99887,99.89%,
27,1742860935.8070104,2025-03-25 08:02:15,99902,99.90%,
28,1742860597.1129467,2025-03-25 07:56:37,99911,99.91%,
29,1742852682.2582161,2025-03-25 05:44:42,99941,99.94%,
30,1742855318.9858103,2025-03-25 06:28:38,99953,99.95%,
31,1742854430.3580818,2025-03-25 06:13:50,99969,99.97%,
32,1742849713.93816,2025-03-25 04:55:13,99949,99.95%,
33,1742849171.3872783,2025-03-25 04:46:11,99958,99.96%,
34,1742851277.745483,2025-03-25 05:21:17,99963,99.96%,
35,1742856263.5688481,2025-03-25 06:44:23,99965,99.97%,
36,1742856859.9657228,2025-03-25 06:54:19,99964,99.96%,
37,1742855615.5158403,2025-03-25 06:33:35,99948,99.95%,
38,1742858522.7545228,2025-03-25 07:22:02,99977,99.98%,
39,1742850075.8704991,2025-03-25 05:01:15,99973,99.97%,
40,1742615377.7495282,2025-03-22 11:49:37,76801,76.80%,
41,1742615235.3420427,2025-03-22 11:47:15,77868,77.87%,
42,1742615234.211393,2025-03-22 11:47:14,78112,78.11%,
43,1742615198.5792432,2025-03-22 11:46:38,77668,77.67%,
44,1742615223.8018498,2025-03-22 11:47:03,76176,76.18%,
45,1742864677.471148,2025-03-25 09:04:37,99387,99.39%,
46,1742866244.8972101,2025-03-25 09:30:44,99261,99.26%,
47,1742866846.0854344,2025-03-25 09:40:46,99449,99.45%,
48,1742874368.3501685,2025-03-25 11:46:08,96056,96.06%,
49,1742862722.9683568,2025-03-25 08:32:02,99497,99.50%,
50,1742874355.5182917,2025-03-25 11:45:55,71181,71.18%,
51,1742874327.5233636,2025-03-25 11:45:27,88778,88.78%,
52,1742874332.9457111,2025-03-25 11:45:32,86958,86.96%,
53,1742874308.1269627,2025-03-25 11:45:08,82216,82.22%,
54,1742874342.5692306,2025-03-25 11:45:42,89574,89.57%,
55,1742874353.1587164,2025-03-25 11:45:53,70510,70.51%,
56,1742874354.763227,2025-03-25 11:45:54,85728,85.73%,
57,1742874337.7237804,2025-03-25 11:45:37,71428,71.43%,
58,1742874313.744693,2025-03-25 11:45:13,71157,71.16%,
59,1742874312.5769296,2025-03-25 11:45:12,71043,71.04%,
60,1742871090.549224,2025-03-25 10:51:30,29784,29.78%,
61,1742871104.8021429,2025-03-25 10:51:44,27995,27.99%,
62,1742871103.8588827,2025-03-25 10:51:43,29564,29.56%,
63,1742871104.4649053,2025-03-25 10:51:44,28268,28.27%,
64,1742871104.8009284,2025-03-25 10:51:44,29109,29.11%,
65,1742874340.1789823,2025-03-25 11:45:40,32619,32.62%,
66,1742874334.80224,2025-03-25 11:45:34,32407,32.41%,
67,1742874308.201298,2025-03-25 11:45:08,32286,32.29%,
68,1742874334.409191,2025-03-25 11:45:34,34555,34.55%,
69,1742874298.7965152,2025-03-25 11:44:58,36288,36.29%,
70,1742874309.3768644,2025-03-25 11:45:09,32327,32.33%,
71,1742874250.2289245,2025-03-25 11:44:10,34890,34.89%,
72,1742874241.868401,2025-03-25 11:44:01,34381,34.38%,
73,1742874261.76911,2025-03-25 11:44:21,34211,34.21%,
74,1742874257.6524923,2025-03-25 11:44:17,34576,34.58%,
75,1742874258.6000586,2025-03-25 11:44:18,33168,33.17%,
76,1742874302.5045788,2025-03-25 11:45:02,34877,34.88%,
77,1742874311.0469317,2025-03-25 11:45:11,33689,33.69%,
78,1742874209.6711972,2025-03-25 11:43:29,46559,46.56%,
79,1742874257.6406271,2025-03-25 11:44:17,36842,36.84%,
80,1742874319.5886045,2025-03-25 11:45:19,34237,34.24%,
81,1742874278.4369335,2025-03-25 11:44:38,35584,35.58%,
82,1742874242.2737522,2025-03-25 11:44:02,35520,35.52%,
83,1742874318.1930737,2025-03-25 11:45:18,34138,34.14%,
84,1742874268.8451674,2025-03-25 11:44:28,33481,33.48%,
85,1742874287.7895267,2025-03-25 11:44:47,32588,32.59%,
86,1742874289.2362669,2025-03-25 11:44:49,34422,34.42%,
87,1742874271.2217224,2025-03-25 11:44:31,35502,35.50%,
88,1742874333.8290114,2025-03-25 11:45:33,46220,46.22%,
89,1742874331.98415,2025-03-25 11:45:31,41573,41.57%,
90,1742851686.8199275,2025-03-25 05:28:06,18199,18.20%,
